ID,Text,Translation
1000055,Failed to create path <u(dest_path)>,
1000063,Failed to generate backup for <u(asset)>,
1000064,Mod: <ModLabel> Entity: Failed to load <u(entity)>,
1000068,Image,
1000065,Failed to open entity file <u(filename)>,
1000098,Default value,
1000101,Modified value,
1000103,Filename,
1000106,Info,
1000104,<id>,
1000105,<id> <color 0 128 0><ValueText>,
1000107,Mod,
1000109,Template,
1000111,General,
1000207,Misc,
1000113,Debug,
1000208,Critical Error,致命错误
1000209,Unspecified error occurred (code %s1). The game will now close.,发生了不明错误（code %s1），游戏即将关闭。
1000210,You need a supported DX11-compatible video card with updated drivers to play this game.,你需要兼容DirectX 11的显卡以及配套驱动来进行游戏。
1000211,Failed to initialize video mode.,初始化视频模式失败
1000114,Error,错误
1000115,You need DirectX 11 and a DirectX 11-compatible graphics card to run this game.,你需要DirectX 11以及兼容显卡来运行游戏。
1000116,You need an OpenGL 4.1-capable graphics card to run this game.,你需要兼容OpenGL 4.1的显卡来进行游戏。
1000117,You need an OpenGL 4.5-capable graphics card to run this game.,你需要兼容OpenGL 4.1的显卡来进行游戏。
1000118,Failed to initialize graphics subsystem.,初始化图形子系统失败。
1000597,"An error has occurred: ""<err>/<context>""",发生了错误：“<err>/<context>”
1000598,Error,错误
1000212,<arg1>:<arg2>:<arg3>,
1000213,<arg1>:<arg2>,
1000685,",",
1000686,Brazilian Portuguese,
1000687,Bulgarian,
1000688,Czech,
1000689,Danish,
1000690,Dutch,
1000691,English,
1000692,Finnish,
1000693,French,
1000694,German,
1000695,Hungarian,
1000696,Italian,
1000697,Japanese,
1000698,Korean,
1000699,Norwegian,
1000700,Polish,
1000701,Portuguese,
1000702,Romanian,
1000703,Russian,
1000704,Chinese (Simplified),
1000705,Spanish,
1000706,Swedish,
1000707,Chinese (Traditional),
1000708,Thai,
1000709,Turkish,
1000710,Auto,
1000119,<FormatResolution(pt)>,
1000121,Default,默认
1000122,Display,显示
1000123,DISPLAY,显示
1000124,Video,视频
1000125,VIDEO,视频
1000126,Audio,音频
1000127,AUDIO,音频
1000128,Controls,控制
1000129,CONTROLS,控制
1000131,GAMEPLAY,
1000132,Key Bindings,键位设置
1000133,KEY BINDINGS,键位设置
1000134,Change Profile,
1000135,CHANGE PROFILE,
1000217,Checking for downloadable content... Please wait.,
1000218,A downloadable content file appears to be damaged and cannot be loaded. Please delete it from the Memory section of the Dashboard and download it again.,
1000610,You are signed in as a guest. You will be unable to save any game content until you sign in to a non-guest profile.,
1000611,Disconnected from multiplayer,
1000612,You have been removed from multiplayer because the game was suspended.,
1000613,New downloadable content has been installed and will be available after you return to the main menu.,
1000624,This account has restricted access to multiplayer.,
1000625,This account has been banned from Xbox Live.,
1000626,An Xbox Live Gold Membership is required to access this feature.,
1000614,<gamer>’s controller has been disconnected. Please reconnect it in order to continue your game or press any button on the user’s new controller.,
1000627,The active controller was disconnected. Please reconnect a controller which is not signed in to a profile in order to continue your game.,
1000628,Controller disconnected,
1000629,Continue,
1000630,Controller disconnected,
1000631,Continue,
1000178,Actions,
1000219,&Views,
1000180,&Actions,
1000181,&Edit,
1000182,&Cut,
1000183,&Copy,
1000184,&Paste,
1000185,&Duplicate,
1000186,&Reload,
1000220,Refresh,
1000221,Undo,
1000222,Redo,
1000223,&Navigate,
1000224,Edit in &New Window,
1000225,&Home,
1000226,&Back,
1000227,&Forward,
1000228,Exit Application,
1000229,Misc,
1000230,Home,
1000231,Previous,
1000232,Next,
1000233,Copy,
1000234,Cut,
1000235,Paste,
1000236,Duplicate,
1000137,New Element,
1000138,New XTemplate,
1000139,Preview XTemplate,
1000615,Delete,
1000245,Redo,
1000616,OK,
1000246,Cancel,
1000617,OK,
1000247,Cancel,
1000140,Hide/show all properties with default values,
189736641365,View Object,
566561671803,Open Entity Editor,
934619628713,Toggle Spots,
855829278936,Convert to Template,
102672884722,Convert to Object,
173123111544,Remove Duplicated,
180179795778,Invert Selection,
381730822640,Delete,
1000248,Remove Unselected,
623390947398,Save,
400353986243,Open Folder,
186760604064,Test,
342669996355,Upload,
487939677892,Help,
833734167742,Delete Item,
1000249,Redo,
125522858940,New Item,
1000142,New <u(item_name)>,
888280433864,File,
1000143,New Mod,
885629433849,Load,
327465361219,Edit,
408637015506,Delete Mod,
791482327441,Help,
234124121113,Fetch from selection,
1000716,Reapply All,
377547327617,New Prg,
301269983303,Save,
102133798674,Move Out,
978910231685,Move In,
505747953509,Delete,
1000250,Redo,
1000251,Prg,
298035641454,Object,
167400996647,Move,
382567554252,Slot,
283142739680,Game,
699872370171,Condition,
294879472859,Rollover Mode,
464156353043,Inspect Focused Window,
437848878733,Toggle Focus Logging,
986049161052,Toggle Rollover Logging,
741286422920,Toggle Context Logging,
1000144,<class> <color 128 128 128><Id><PlacementText>,
1000252,New Update Available,
1000253,Download & Install,
1000254,Cancel,
1000255,Download error,
1000256,"Download failed, please try again later.",
1000257,Connected to <host>:<port>,
1000258, game <game>,
1000259,<newline>sent <events_sent_ps> received <events_received_ps>,
1000260,<newline>Advance limit <advance>(<more>),
1000618,Idle,
1000717,New Downloadable Content,
1000723,"Downloadable Content has been unlocked, returning to Main Menu.",
1000261,Damaged savegame,
1000146,Select Action,
1000147,Select Action Param,
1000148,Gamepad Button,
1000149,Virtual Key,
1000150,Center Button,
1000151,Go Back,
1000152,Back Button,
1000153,Close Parent,
1000154,Open Dialog,
1000156,ActionFXMouseIn,
1000157,ActionFXBtnPressed,
1000158,ActionFXBtnPressedDisabled,
1000262,<arg1> R,
1000263,<arg1> G,
1000264,<arg1> B,
1000265,On,
1000266,Off,
1000267,(press any key),
1000268,None,
1000269,Backspace,
1000270,Tab,
1000271,Enter,
1000272,Shift,
1000273,Ctrl,
1000274,Alt,
1000275,Caps Lock,
1000276,Space,
1000277,Pageup,
1000278,Pagedown,
1000279,End,
1000280,Home,
1000281,Left,
1000282,Up,
1000283,Right,
1000284,Down,
1000285,PrtScr,
1000286,Insert,
1000287,Delete,
1000288,0,
1000289,1,
1000290,2,
1000291,3,
1000292,4,
1000293,5,
1000294,6,
1000295,7,
1000296,8,
1000297,9,
1000298,A,
1000299,B,
1000300,C,
1000301,D,
1000302,E,
1000303,F,
1000304,G,
1000305,H,
1000306,I,
1000307,J,
1000308,K,
1000309,L,
1000310,M,
1000311,N,
1000312,O,
1000313,P,
1000314,Q,
1000315,R,
1000316,S,
1000317,T,
1000318,U,
1000319,V,
1000320,W,
1000321,X,
1000322,Y,
1000323,Z,
1000324,Numpad 0,数字键0
1000325,Numpad 1,数字键1
1000326,Numpad 2,数字键2
1000327,Numpad 3,数字键3
1000328,Numpad 4,数字键4
1000329,Numpad 5,数字键5
1000330,Numpad 6,数字键6
1000331,Numpad 7,数字键7
1000332,Numpad 8,数字键8
1000333,Numpad 9,数字键9
1000334,Numpad *,数字键*
1000335,Numpad +,数字键+
1000336,Numpad Enter,数字键Enter
1000337,Numpad -,数字键-
1000338,Numpad .,数字键.
1000339,Numpad /,数字键/
1000340,F1,
1000341,F2,
1000342,F3,
1000343,F4,
1000344,F5,
1000345,F6,
1000346,F7,
1000347,F8,
1000348,F9,
1000349,F10,
1000350,F11,
1000351,F12,
1000352,Num Lock,
1000353,Scroll Lock,
1000619,Pause,
1000354,L Shift,
1000355,R Shift,
1000356,L Ctrl,
1000357,R Ctrl,
1000358,L Alt,
1000359,R Alt,
1000360,;,
1000361,=,
1000362,",",
1000363,-,
1000364,+,
1000365,.,
1000366,/,
1000367,~,
1000368,[,
1000369,\,
1000370,],
1000371,',
1000372,<current_page> / <total_pages>,
1000620,Warning,警告
1000621,Windows Input Method Editor may cause flickering when in Fullscreen.,Windows输入法可能会造成全屏模式下窗口闪烁
1000373,"droid, 12, aa","Noto Sans CJK SC Regular, 11, aa",
1000374,"Mikadan Custom, 22, aa","Noto Sans CJK SC Regular, 21, aa",
1000375,"Mikadan Custom, 26, aa","Noto Sans CJK SC Regular, 25, aa",
1000376,"Mikadan Custom, 30, aa","Noto Sans CJK SC Regular, 29, aa",
1000377,"Mikadan Custom, 22, aa","Noto Sans CJK SC Regular, 21, aa",
1000378,"droid, 9, aa","Noto Sans CJK SC Regular, 8, aa",
1000379,"droid, 11, bold, aa","Noto Sans CJK SC Regular, 10, bold, aa",
1000380,"droid, 11, aa","Noto Sans CJK SC Regular, 10, aa",
1000381,"droid, 12, bold, aa","Noto Sans CJK SC Regular, 11, bold, aa",
1000382,"droid, 12, aa","Noto Sans CJK SC Regular, 11, aa",
1000383,"droid, 13, aa","Noto Sans CJK SC Regular, 12, aa",
1000384,"droid, 13, bold, aa","Noto Sans CJK SC Regular, 12, bold, aa",
1000385,"droid, 14, aa","Noto Sans CJK SC Regular, 13, aa",
1000386,"droid, 14, bold, aa","Noto Sans CJK SC Regular, 13, bold, aa",
1000387,"droid, 16, aa","Noto Sans CJK SC Regular, 15, aa",
1000388,"droid, 16, bold, aa","Noto Sans CJK SC Regular, 15, bold, aa",
1000389,"droid, 17, aa","Noto Sans CJK SC Regular, 16, aa",
1000390,"droid, 17, bold, aa","Noto Sans CJK SC Regular, 16, bold, aa",
1000391,"droid, 18, aa","Noto Sans CJK SC Regular, 17, aa",
1000392,"droid, 18, bold, aa","Noto Sans CJK SC Regular, 17, bold, aa",
1000393,"droid, 21, bold, aa","Noto Sans CJK SC Regular, 20, bold, aa",
1000394,"droid, 32, bold","Noto Sans CJK SC Regular, 31, bold",
1000622,"droid, 14, bold, aa","Noto Sans CJK SC Regular, 13, bold, aa",
1000395,"droid, 18, bold, aa","Noto Sans CJK SC Regular, 17, bold, aa",
1000396,"droid, 12, aa","Noto Sans CJK SC Regular, 11, aa",
1000397,"droid, 13, bold, aa","Noto Sans CJK SC Regular, 12, bold, aa",
1000398,"droid, 14, aa","Noto Sans CJK SC Regular, 13, aa",
1000399,"droid, 14, bold, aa","Noto Sans CJK SC Regular, 13, bold, aa",
1000400,"LibelSuitRg, 22, bold","Noto Sans CJK SC Regular, 21, bold",
1000401,"LibelSuitRg, 18","Noto Sans CJK SC Regular, 17",
1000402,"LibelSuitRg, 20, bold","Noto Sans CJK SC Regular, 19, bold",
1000403,"LibelSuitRg, 20, bold","Noto Sans CJK SC Regular, 19, bold",
1000404,"LibelSuitRg, 22","Noto Sans CJK SC Regular, 21",
1000405,"LibelSuitRg, 30, bold","Noto Sans CJK SC Regular, 29, bold",
1000672,"SchemeBk, 21, bold, aa","Noto Sans CJK SC Regular, 20, bold, aa",
1000673,"SchemeBk, 19, bold, aa","Noto Sans CJK SC Regular, 18, bold, aa",
1000674,"SchemeBk, 13, aa","Noto Sans CJK SC Regular, 12, aa",
1000163,<ButtonB> Skip,跳过
1000164,<image UI/Icons/action_esc.tga 2000> Skip,跳过
1000416,OK,确定
1000417,OK,确定
1000418,Cancel,取消
1000419,Connecting to <host>:<port>,正在连接到<host>：<port>
1000420,Error connecting to server: <err>,连接到服务器时出错：<err>
1000421,Joining <game>,正在加入<game>
1000422,Error joining <game>: <error>,加入<game>时出错：<error>
1000423,Changing map to <map>,变更地图到<map>
1000424,Connection established,连接已建立
1000425,Pause,暂停
1000426,OK,确定
1000427,Cancel,取消
1000428,Enter Text Here:,此处输入文本：
1000429,OK,确定
1000430,Cancel,取消
1000431,OK,确定
1000432,Cancel,取消
1000433,OK,确定
1000434,Server,服务器
1000435,Game,游戏
1000436,Map,地图
1000437,Username,用户名
1000438,Password,密码
1000439,OK,确定
1000440,Cancel,取消
1000441,Join Net Game,加入网络游戏
1000442,Controls:,控制：
1000443,<center>Controls Palette,<center>控制面板
1000406,English,
1000407,French,
1000408,German,
1000409,Italian,
1000410,Spanish,
1000411,Russian,
1000412,Czech,
1000413,Hungarian,
1000414,Polish,
1000415,Japanese,
1000444,<actor>: <text>,
1000165,<class> <Id>,
1000445,Backspace,
1000446,Tab,
1000447,Enter,
1000448,Shift,
1000449,Ctrl,
1000450,Alt,
1000451,Caps Lock,
1000452,Space,
1000453,Pageup,
1000454,Pagedown,
1000455,End,
1000456,Home,
1000457,Left,
1000458,Up,
1000459,Right,
1000460,Down,
1000461,PrtScr,
1000462,Insert,
1000463,Delete,
1000464,0,
1000465,1,
1000466,2,
1000467,3,
1000468,4,
1000469,5,
1000470,6,
1000471,7,
1000472,8,
1000473,9,
1000474,A,
1000475,B,
1000476,C,
1000477,D,
1000478,E,
1000479,F,
1000480,G,
1000481,H,
1000482,I,
1000483,J,
1000484,K,
1000485,L,
1000486,M,
1000487,N,
1000488,O,
1000489,P,
1000490,Q,
1000491,R,
1000492,S,
1000493,T,
1000494,U,
1000495,V,
1000496,W,
1000497,X,
1000498,Y,
1000499,Z,
1000500,Numpad 0,数字键0
1000501,Numpad 1,数字键1
1000502,Numpad 2,数字键2
1000503,Numpad 3,数字键3
1000504,Numpad 4,数字键4
1000505,Numpad 5,数字键5
1000506,Numpad 6,数字键6
1000507,Numpad 7,数字键7
1000508,Numpad 8,数字键8
1000509,Numpad 9,数字键9
1000510,Numpad *,数字键*
1000511,Numpad +,数字键+
1000512,Numpad Enter,数字键Enter
1000513,Numpad -,数字键-
1000514,Numpad .,数字键.
1000515,Numpad /,数字键/
1000516,F1,
1000517,F2,
1000518,F3,
1000519,F4,
1000520,F5,
1000521,F6,
1000522,F7,
1000523,F8,
1000524,F9,
1000525,F10,
1000526,F11,
1000527,F12,
1000528,Num Lock,
1000529,Scroll Lock,
1000530,Pause,
1000531,L Shift,
1000532,R Shift,
1000533,L Ctrl,
1000534,R Ctrl,
1000535,L Alt,
1000536,R Alt,
1000537,;,
1000538,=,
1000539,",",
1000540,-,
1000541,+,
1000542,.,
1000543,/,
1000544,~,
1000545,[,
1000546,\,
1000547,],
1000548,',
1000160,Lwin,
1000161,Rwin,
1000162,Menu,
1000549,if <condition> then,
1000550,else,
1000551,else if <condition> then,
1000552,while <condition> do,
1000553,repeat until <condition>,
1000554,break,
1000555,break if <condition>,
1000556,<var> = <condition>,
1000557,<var> = <var> or <condition>,
1000558,<var> = <var> and <condition>,
1000559,<form> <color 0 128 0><comment>,
1000632,<unit> has no visit time,
1000633,<unit> has visit time,
1000560,call <__call>(<params>) <color 0 128 0><comment>,
1000561,Wait <time> ms <color 0 128 0><comment>,
1000562,Play <spot> prg <color 0 128 0><comment>,
1000634,Play <anim>,
1000635,Play <anim> <loops> loops,
1000636,Set <anim>,
1000637,Play <anim> <time> ms,
1000638,<desc> (<flags>),
1000639,Set <unit> move anim <move_anim>,
1000640,Set <unit> wait anim <wait_anim>,
1000641,<spot>,
1000642,<loc>,
1000643,<loc><newline>   (custom waypoints <waypoints>),
1000644,Lead <unit> to <spot_obj> <txt> <color 0 128 0><comment>,
1000645,Go to <pos>,
1000646,Teleport to <pos>,
1000647,Move directly to <pos>,
1000679,Follow waypoints <waypoints_var> <dir> <color 0 128 0>,
1000648,<color 0 128 0><comment><color 0 0 0>,
1000650,Clear <obj> <spot> flags <flags_clear>,
1000651,Dtor set <obj> <spot> flags <dtor_flags_add>,
1000652,Dtor clear <obj> <spot> flags <dtor_flags_clear>,
1000649,Set <obj> <spot> flags <flags_add>,
1000653,not,
1000654,"<not_text> <obj> <spot> required <flags_required>, missing <flags_missing>",
1000655,<not_text> <obj> <spot> required <flags_required>,
1000656,<not_text> <obj> <spot> missing <flags_missing>,
1000657,false,
1000658,true,
1000659,<var_pos> = Position of <obj> <spot_var>,
1000660,<waypoints_idx>,
1000661,last,
1000662,<var_pos> = Position of <obj> <waypoints_var>[<idx>],
1000681,<var_spot> <var_pos> = Nearest spot <spot_type> to <target>,
1000663,<var_spot> <var_pos> = Random spot <spot_type>,
1000680,"<var_waypoints> = Find <waypoints>(start:<first_target>, end:<last_target>)",
1000675,<var_obj> = Nearest <classname> to <target>,
1000711,<params>,
1000712,<action> <obj> <params>,
1000713,<obj> action: <action_var> <params>,
1000179,<txt>,
1000714,( Dtor <dtor_action> <obj> <params>),
1000682,Set <unit> inside,
1000683,Set <unit> outside,
1000586,Snap <actor> to <obj> <spot><color 0 128 0><comment>,
1000587,Rotate <obj> on <angle> degree (<time>ms) <color 0 128 0><comment>,
1000677,Attach <actor> to <obj>,
1000678,Detach <actor>,
1000588,Orient <actor> <color 0 128 0><comment>,
1000565,Place <classname> <color 0 128 0><comment>,
1000666,(<spot_type>) ,
1000667,Define slot <groups> <spots><color 0 128 0><comment>,
1000684,<vars> = Select slot <group>,
1000715,Visit selected <obj> <spot>,
1000670, (fallback: <group_fallback>),
1000671,Visit slot <group><fallback>,
1000166,<class> <color 0 128 0><comment>,
1000187,Group <color 0 128 0><comment>,
1000188,Code <color 0 128 0><comment>,
1000189,func <name> <color 0 128 0><comment>,
1000190,<__class> <color 128 128 128><PlacementText> <color 0 128 0><comment>,
1000191,T: <__template> <color 128 128 128><Id> <color 0 128 0><comment>,
1000192,Property <id> <color 0 128 0><comment>,
1000193,<color 128 0 0>Mode <mode> <color 0 128 0><comment>,
1000194,Layer <layer> <color 0 128 0><comment>,
1000195,Action <color 128 128 128><ActionMode> <ActionId> <color 0 128 0><comment>,
1000196,For each <color 0 128 0><comment>,
1000197,For each action <toolbar><menubar> <color 0 128 0><comment>,
396941091004,Go Back,
915113417689,Go Forward,
657831084891,Go to parent's previous child,
645635277599,Go to parent's next child,
516545424288,Go to parent table,
832102575376,Store in 'o1',
150879427262,Store in 'o2',
135515637285,Store in 'o3',
866772482434,New Preset,
502364928914,Delete Preset,
606395244135,Save,
876718755482,Move Up,
882087082346,Move Down,
885977304658,Undo,
711130941438,Redo,
606667192825,Cut,
300588080799,Copy,
733420793888,Paste,
675205898362,Duplicate,
398847925160,New,
1000198,<info>,
1000199,Two too many,
1000200,AQj,
1000201,Action 1,
1000202,Action 2,
1000203,Action 3,
243550090910,File,
357531548191,Edit,
1000204,View,
1000205,New File,
1000206,Open File,
131428313273,-----,
238591151127,Exit,退出
1000237,Please select installation type,请选择安装类型
1000238,Not enough free disk space in,没有足够的磁盘空间：
1000239,Typical,典型
1000240,Custom,自定义
1000241,"Do you want to delete all savegames, configuration data and downloadable content?",你确定要删除所有的存档、设定数据和可下载内容吗？
1000242,<game> was successfully removed from your computer.,<game>已经成功地从你的电脑中删除
1000243,Please install <game_version>,请安装<game_version>
1000244,You have already installed <game_version>,你已经安装了<game_version>
4864,Cubism,立体主义
4865,Completed Mystery: The Power of Three,完成剧情：三相之力
4866,Complete The Power of Three Mystery,完成三相之力剧情
4867,Space Invaders,太空入侵者
4868,Completed Mystery: The Dredgers,完成剧情：挖掘者
4869,Complete the Dredgers mystery,完成挖掘者剧情
4870,"Mirror, mirror...","魔镜啊，魔镜..."
4871,Completed Mystery: Spheres,完成剧情：球体
4872,Complete the Spheres mystery,完成球体剧情
4873,Swan Song,绝唱
4874,Completed Mystery: Inner Light,完成剧情：内心之光
4875,Complete the Inner Light mystery,完成内心之光剧情
4876,Sentience 2.0,感性2.0
4877,Completed Mystery: Artificial Intelligence,完成剧情：人工智能
4878,Complete the Artificial Intelligence mystery,完成人工智能剧情
4879,Whistleblower,告密者
4880,Completed Mystery: Marsgate,完成剧情：火星之门
4881,Complete the Marsgate mystery,完成火星之门剧情
4882,The Beanstalk,豆梗
4883,Built the Space Elevator,建造了太空电梯
4884,Build the Space Elevator,建造太空电梯
4885,Snow Globe,雪球
4886,Built the Geoscape Dome,建造了超巨型穹顶
4887,Build the Geoscape Dome,建造超巨型穹顶
4888,It's Always Sunny on Mars,火星上总是阳光灿烂
4889,Built the Artificial Sun,建造了人工太阳
4890,Build the Artificial Sun,建造人工太阳
4891,Alpha Scientist,阿尔法科学家
4892,Built the Omega Telescope,建造了欧米茄望远镜
4893,Build the Omega Telescope,建造欧米茄望远镜
4894,The Rabbit Hole,兔子洞
4895,Built the Mohole Mine,建造了超深矿井
4896,Build the Mohole Mine,建造超深矿井
4897,Cast in Concrete,镶铸混凝土
4898,Built the Excavator,建造了采掘者
4899,Build the Excavator,建造采掘者
4900,What is Real?,何为真实？
4901,Built Project Morpheus,建造了梦境工程
4902,Build Project Morpheus,建造梦境工程
4903,Bubble Wrap,穿上泡泡
4904,Built a Dome,建造了一个穹顶
4905,Build a Dome,建造一个穹顶
4906,There and Back Again,去去就回
7427,Refueled a Rocket,重新装填了火箭燃料
4907,Refuel a Rocket,重新装填火箭燃料
4908,Spacey Food,古怪的食物
4909,Harvested Food on Mars,在火星上收获了食物
4910,Harvest Food on Mars,在火星上收获食物
4911,Where No Man has Gone Before,未踏之地
7428,Analyzed an Anomaly,分析了一个异常
4912,Analyze an Anomaly,分析一个异常
4913,Marvin the Martian,火星人马文
4914,First child on Mars,火星上出生的第一个孩子
4915,"Good News, Everyone!",大家，好消息！
4916,Passed the Colony Approval stage,通过殖民地批准阶段
4917,Pass the Colony Approval stage,通过殖民地批准阶段
4918,Space Communism,宇宙共产主义
4919,Reached 250 Colonists,殖民者达到了250个
4920,Reach 250 Colonists,殖民者达到250个
4921,Multiplanet Species,多行星物种
4922,Reached 1000 Colonists,殖民者达到了1000个
4923,Reach 1000 Colonists,殖民者达到1000个
4924,The Boundaries of Knowledge,知识边界
4925,Researched all non-Breakthrough Technologies,研究了所有非突破性科技
4926,Research all non-Breakthrough Technologies,研究所有非突破性科技
4927,Can't Stop the Signal,停不下来的信号
4928,Scanned all Sectors,扫描了所有区块
4929,Scan all Sectors,扫描所有区块
4930,The Final Frontier,最终领域
4931,Deep scanned all Sectors,深度扫描了所有区块
4932,Deep scan all Sectors,深度扫描所有区块
4933,How Much is a Googol?,一古戈尔是多大？
4934,"Reached $100,000 M","达到了 $100,000 M"
4935,"Reach $100,000 M","达到 $100,000 M"
4936,"Wubba, lubba, dub, dub!","Wubba, lubba, dub, dub!"
4937,Built 1000 buildings,建造了1000个建筑
4938,Build 1000 buildings,建造1000个建筑
4939,You can't take the Sky from Me!,你不能拿走我的天空！
4940,Landed 50 Rockets on Mars in a single playthrough,单局游戏中在火星上着陆了50枚火箭
4941,Land 50 Rockets on Mars in a single playthrough,单局游戏中在火星上着陆50枚火箭
4942,In the High Tower,高塔之上
4943,Built a Dome Spire,建造了一个穹顶中央塔
4944,Build a Dome Spire,建造一个穹顶中央塔
4945,Open the Pod Bay Doors,打开舱门
7429,Built a Shuttle Hub,建造了一个穿梭枢纽
4946,Build a Shuttle Hub,建造一个穹顶中央塔
4947,A Shooting Star,射击之星
4948,Shot down a meteorite,射下了一颗流星
4949,Shoot down a meteorite,射下一颗流星
4950,Dream of a Green Mars,绿星之梦
4951,Reached 200 Vegans,素食主义者达到了200个
4952,Reach 200 Vegans,素食主义者达到200个
4953,Marsopolis,火星大都市
7430,Reached 100 Colonists living in a single Dome,生活在单个穹顶中的殖民者达到了100个
4954,Reach 100 Colonists living in a single Dome,生活在单个穹顶中的殖民者达到100个
4955,Assisted Self-Improvement,辅助自我修养
4956,Treated 50 Colonists in a Sanatorium,50个殖民者在疗养所中休养
4957,Treat 50 Colonists in a Sanatorium,50个殖民者在疗养所中休养
4958,For the Benefit of All,为了所有人的利益
4959,Played as USA and researched all technologies in the Engineering tech-tree before Sol 100,扮演美国，在第100天之前研究工程学科技树里的所有科技
4960,Play as USA and research all technologies in the Engineering tech-tree before Sol 100,扮演美国，在第100天之前研究工程学科技树里的所有科技
4961,Building a Better Future,建设更美好的未来
4962,Played as Blue Sun Corporation and exported 500 units of Rare Metals to Earth before Sol 100,扮演蓝阳公司，在第100天之前出口500单位稀有金属
4963,Play as Blue Sun Corporation and export 500 units of Rare Metals to Earth before Sol 100,扮演蓝阳公司，在第100天之前出口500单位稀有金属
4964,Interesting Times,有趣的时光
7431,Played as China and reached a population of 200 before Sol 100,扮演中国，在第100天之前达到200人口
4965,Play as China and reach a population of 200 before Sol 100,扮演中国，在第100天之前达到200人口
4966,In the Service of Humankind,为人类服务
7698,Played as India and had 5 Domes before Sol 100,扮演印度，在第100天之前拥有5个穹顶
4967,Play as India and have 5 Domes before Sol 100,扮演印度，在第100天之前拥有5个穹顶
4968,Because we Care,因为我们用心
7699,Played as Europe and researched 5 Breakthrough Technologies before Sol 100,扮演欧盟，在第100天之前研究5个突破科技
4969,Play as Europe and research 5 Breakthrough Technologies before Sol 100,扮演欧盟，在第100天之前研究5个突破科技
4970,Aren't they Cute?,他们不可爱吗？
4971,Played as SpaceY and controlled 200 Drones before Sol 100,扮演SpaceY，在第100天之前控制200个机器人
4972,Play as SpaceY and control 200 Drones before Sol 100,扮演SpaceY，在第100天之前控制200个机器人
4973,Gagarin's Legacy,加加林的遗产
4974,Played as Russia and extracted 10000 resource units from Deposits before Sol 100,扮演俄罗斯，在第100天之前从沉积物中提炼10000单位资源
4975,Play as Russia and extract 10000 resource units from Deposits before Sol 100,扮演俄罗斯，在第100天之前从沉积物中提炼10000单位资源
4976,The New Ark,新方舟
4977,Played as the Church of the New Ark and had 100 people born on Mars before Sol 100,扮演新方舟教会，在第100天之前有100个在火星上出生的人口
4978,Play as the Church of the New Ark and have 100 people born on Mars before Sol 100,扮演新方舟教会，在第100天之前有100个在火星上出生的人口
4979,Perfect Moment,完美时刻
4980,Had a Colonist with all four stats at maximum,拥有一个四维全满的殖民者
4981,Have a Colonist with all four stats at maximum,拥有一个四维全满的殖民者
4982,A Better Planet,更好的行星
4983,Had an Earthsick Colonist who decided to stay on Mars,拥有一个决定留在火星的思乡殖民者
4984,Have an Earthsick Colonist who decided to stay on Mars,拥有一个决定留在火星的思乡殖民者
